emoji,desc,unicode
🕵️‍♂️,Investigatore,U+1F575 U+FE0F U+200D U+2642 U+FE0F
🕵🏻‍♂️,Investigatore Carnagione Chiara,U+1F575 U+1F3FB U+200D U+2642 U+FE0F
🕵🏼‍♂️,Investigatore Carnagione Abbastanza Chiara,U+1F575 U+1F3FC U+200D U+2642 U+FE0F
🕵🏽‍♂️,Investigatore Carnagione Olivastra,U+1F575 U+1F3FD U+200D U+2642 U+FE0F
🕵🏾‍♂️,Investigatore Carnagione Abbastanza Scura,U+1F575 U+1F3FE U+200D U+2642 U+FE0F
🕵🏿‍♂️,Investigatore Carnagione Scura,U+1F575 U+1F3FF U+200D U+2642 U+FE0F
🕵️‍♀️,Investigatrice,U+1F575 U+FE0F U+200D U+2640 U+FE0F
🕵🏻‍♀️,Investigatrice Carnagione Chiara,U+1F575 U+1F3FB U+200D U+2640 U+FE0F
🕵🏼‍♀️,Investigatrice Carnagione Abbastanza Chiara,U+1F575 U+1F3FC U+200D U+2640 U+FE0F
🕵🏽‍♀️,Investigatrice Carnagione Olivastra,U+1F575 U+1F3FD U+200D U+2640 U+FE0F
🕵🏾‍♀️,Investigatrice Carnagione Abbastanza Scura,U+1F575 U+1F3FE U+200D U+2640 U+FE0F
🕵🏿‍♀️,Investigatrice Carnagione Scura,U+1F575 U+1F3FF U+200D U+2640 U+FE0F
💂,Guardia,U+1F482
💂🏻,Guardia Carnagione Chiara,U+1F482 U+1F3FB
💂🏼,Guardia Carnagione Abbastanza Chiara,U+1F482 U+1F3FC
💂🏽,Guardia Carnagione Olivastra,U+1F482 U+1F3FD
💂🏾,Guardia Carnagione Abbastanza Scura,U+1F482 U+1F3FE
💂🏿,Guardia Carnagione Scura,U+1F482 U+1F3FF
💂‍♂️,Guardia Uomo,U+1F482 U+200D U+2642 U+FE0F
💂🏻‍♂️,Guardia Uomo Carnagione Chiara,U+1F482 U+1F3FB U+200D U+2642 U+FE0F
💂🏼‍♂️,Guardia Uomo Carnagione Abbastanza Chiara,U+1F482 U+1F3FC U+200D U+2642 U+FE0F
💂🏽‍♂️,Guardia Uomo Carnagione Olivastra,U+1F482 U+1F3FD U+200D U+2642 U+FE0F
💂🏾‍♂️,Guardia Uomo Carnagione Abbastanza Scura,U+1F482 U+1F3FE U+200D U+2642 U+FE0F
💂🏿‍♂️,Guardia Uomo Carnagione Scura,U+1F482 U+1F3FF U+200D U+2642 U+FE0F
💂‍♀️,Guardia Donna,U+1F482 U+200D U+2640 U+FE0F
💂🏻‍♀️,Guardia Donna Carnagione Chiara,U+1F482 U+1F3FB U+200D U+2640 U+FE0F
💂🏼‍♀️,Guardia Donna Carnagione Abbastanza Chiara,U+1F482 U+1F3FC U+200D U+2640 U+FE0F
💂🏽‍♀️,Guardia Donna Carnagione Olivastra,U+1F482 U+1F3FD U+200D U+2640 U+FE0F
💂🏾‍♀️,Guardia Donna Carnagione Abbastanza Scura,U+1F482 U+1F3FE U+200D U+2640 U+FE0F
💂🏿‍♀️,Guardia Donna Carnagione Scura,U+1F482 U+1F3FF U+200D U+2640 U+FE0F
🥷,Ninja,U+1F977
🥷🏻,Ninja Carnagione Chiara,U+1F977 U+1F3FB
🥷🏼,Ninja Carnagione Abbastanza Chiara,U+1F977 U+1F3FC
🥷🏽,Ninja Carnagione Olivastra,U+1F977 U+1F3FD
🥷🏾,Ninja Carnagione Abbastanza Scura,U+1F977 U+1F3FE
🥷🏿,Ninja Carnagione Scura,U+1F977 U+1F3FF
👷,Operaio Edile,U+1F477
👷🏻,Operaio Edile Carnagione Chiara,U+1F477 U+1F3FB
👷🏼,Operaio Edile Carnagione Abbastanza Chiara,U+1F477 U+1F3FC
👷🏽,Operaio Edile Carnagione Olivastra,U+1F477 U+1F3FD
👷🏾,Operaio Edile Carnagione Abbastanza Scura,U+1F477 U+1F3FE
👷🏿,Operaio Edile Carnagione Scura,U+1F477 U+1F3FF
👷‍♂️,Operaio Edile Uomo,U+1F477 U+200D U+2642 U+FE0F
👷🏻‍♂️,Operaio Edile Uomo Carnagione Chiara,U+1F477 U+1F3FB U+200D U+2642 U+FE0F
👷🏼‍♂️,Operaio Edile Uomo Carnagione Abbastanza Chiara,U+1F477 U+1F3FC U+200D U+2642 U+FE0F
👷🏽‍♂️,Operaio Edile Uomo Carnagione Olivastra,U+1F477 U+1F3FD U+200D U+2642 U+FE0F
👷🏾‍♂️,Operaio Edile Uomo Carnagione Abbastanza Scura,U+1F477 U+1F3FE U+200D U+2642 U+FE0F
👷🏿‍♂️,Operaio Edile Uomo Carnagione Scura,U+1F477 U+1F3FF U+200D U+2642 U+FE0F
👷‍♀️,Operaia Edile,U+1F477 U+200D U+2640 U+FE0F
👷🏻‍♀️,Operaia Edile Carnagione Chiara,U+1F477 U+1F3FB U+200D U+2640 U+FE0F
👷🏼‍♀️,Operaia Edile Carnagione Abbastanza Chiara,U+1F477 U+1F3FC U+200D U+2640 U+FE0F
👷🏽‍♀️,Operaia Edile Carnagione Olivastra,U+1F477 U+1F3FD U+200D U+2640 U+FE0F
👷🏾‍♀️,Operaia Edile Carnagione Abbastanza Scura,U+1F477 U+1F3FE U+200D U+2640 U+FE0F
👷🏿‍♀️,Operaia Edile Carnagione Scura,U+1F477 U+1F3FF U+200D U+2640 U+FE0F
🤴,Principe,U+1F934
🤴🏻,Principe Carnagione Chiara,U+1F934 U+1F3FB
🤴🏼,Principe Carnagione Abbastanza Chiara,U+1F934 U+1F3FC
🤴🏽,Principe Carnagione Olivastra,U+1F934 U+1F3FD
🤴🏾,Principe Carnagione Abbastanza Scura,U+1F934 U+1F3FE
🤴🏿,Principe Carnagione Scura,U+1F934 U+1F3FF
👸,Principessa,U+1F478
👸🏻,Principessa Carnagione Chiara,U+1F478 U+1F3FB
👸🏼,Principessa Carnagione Abbastanza Chiara,U+1F478 U+1F3FC
👸🏽,Principessa Carnagione Olivastra,U+1F478 U+1F3FD
👸🏾,Principessa Carnagione Abbastanza Scura,U+1F478 U+1F3FE
👸🏿,Principessa Carnagione Scura,U+1F478 U+1F3FF
👳,Persona Con Turbante,U+1F473
👳🏻,Persona Con Turbante Carnagione Chiara,U+1F473 U+1F3FB
👳🏼,Persona Con Turbante Carnagione Abbastanza Chiara,U+1F473 U+1F3FC
👳🏽,Persona Con Turbante Carnagione Olivastra,U+1F473 U+1F3FD
👳🏾,Persona Con Turbante Carnagione Abbastanza Scura,U+1F473 U+1F3FE
👳🏿,Persona Con Turbante Carnagione Scura,U+1F473 U+1F3FF
👳‍♂️,Uomo Con Turbante,U+1F473 U+200D U+2642 U+FE0F
👳🏻‍♂️,Uomo Con Turbante Carnagione Chiara,U+1F473 U+1F3FB U+200D U+2642 U+FE0F
👳🏼‍♂️,Uomo Con Turbante Carnagione Abbastanza Chiara,U+1F473 U+1F3FC U+200D U+2642 U+FE0F
👳🏽‍♂️,Uomo Con Turbante Carnagione Olivastra,U+1F473 U+1F3FD U+200D U+2642 U+FE0F
👳🏾‍♂️,Uomo Con Turbante Carnagione Abbastanza Scura,U+1F473 U+1F3FE U+200D U+2642 U+FE0F
👳🏿‍♂️,Uomo Con Turbante Carnagione Scura,U+1F473 U+1F3FF U+200D U+2642 U+FE0F
👳‍♀️,Donna Con Turbante,U+1F473 U+200D U+2640 U+FE0F
👳🏻‍♀️,Donna Con Turbante Carnagione Chiara,U+1F473 U+1F3FB U+200D U+2640 U+FE0F
👳🏼‍♀️,Donna Con Turbante Carnagione Abbastanza Chiara,U+1F473 U+1F3FC U+200D U+2640 U+FE0F
👳🏽‍♀️,Donna Con Turbante Carnagione Olivastra,U+1F473 U+1F3FD U+200D U+2640 U+FE0F
👳🏾‍♀️,Donna Con Turbante Carnagione Abbastanza Scura,U+1F473 U+1F3FE U+200D U+2640 U+FE0F
👳🏿‍♀️,Donna Con Turbante Carnagione Scura,U+1F473 U+1F3FF U+200D U+2640 U+FE0F
👲,Uomo Con Zucchetto Cinese,U+1F472
👲🏻,Uomo Con Zucchetto Cinese Carnagione Chiara,U+1F472 U+1F3FB
👲🏼,Uomo Con Zucchetto Cinese Carnagione Abbastanza Chiara,U+1F472 U+1F3FC
👲🏽,Uomo Con Zucchetto Cinese Carnagione Olivastra,U+1F472 U+1F3FD
👲🏾,Uomo Con Zucchetto Cinese Carnagione Abbastanza Scura,U+1F472 U+1F3FE
👲🏿,Uomo Con Zucchetto Cinese Carnagione Scura,U+1F472 U+1F3FF
🧕,Donna Con Velo,U+1F9D5
🧕🏻,Donna Con Velo Carnagione Chiara,U+1F9D5 U+1F3FB
🧕🏼,Donna Con Velo Carnagione Abbastanza Chiara,U+1F9D5 U+1F3FC
🧕🏽,Donna Con Velo Carnagione Olivastra,U+1F9D5 U+1F3FD
🧕🏾,Donna Con Velo Carnagione Abbastanza Scura,U+1F9D5 U+1F3FE
🧕🏿,Donna Con Velo Carnagione Scura,U+1F9D5 U+1F3FF
🤵,Persona In Smoking,U+1F935
🤵🏻,Persona In Smoking Carnagione Chiara,U+1F935 U+1F3FB
🤵🏼,Persona In Smoking Carnagione Abbastanza Chiara,U+1F935 U+1F3FC
🤵🏽,Persona In Smoking Carnagione Olivastra,U+1F935 U+1F3FD
🤵🏾,Persona In Smoking Carnagione Abbastanza Scura,U+1F935 U+1F3FE
🤵🏿,Persona In Smoking Carnagione Scura,U+1F935 U+1F3FF
🤵‍♂️,Uomo In Smoking,U+1F935 U+200D U+2642 U+FE0F
🤵🏻‍♂️,Uomo In Smoking Carnagione Chiara,U+1F935 U+1F3FB U+200D U+2642 U+FE0F
🤵🏼‍♂️,Uomo In Smoking Carnagione Abbastanza Chiara,U+1F935 U+1F3FC U+200D U+2642 U+FE0F
🤵🏽‍♂️,Uomo In Smoking Carnagione Olivastra,U+1F935 U+1F3FD U+200D U+2642 U+FE0F
🤵🏾‍♂️,Uomo In Smoking Carnagione Abbastanza Scura,U+1F935 U+1F3FE U+200D U+2642 U+FE0F
🤵🏿‍♂️,Uomo In Smoking Carnagione Scura,U+1F935 U+1F3FF U+200D U+2642 U+FE0F
🤵‍♀️,Donna In Smoking,U+1F935 U+200D U+2640 U+FE0F
🤵🏻‍♀️,Donna In Smoking Carnagione Chiara,U+1F935 U+1F3FB U+200D U+2640 U+FE0F
🤵🏼‍♀️,Donna In Smoking Carnagione Abbastanza Chiara,U+1F935 U+1F3FC U+200D U+2640 U+FE0F
🤵🏽‍♀️,Donna In Smoking Carnagione Olivastra,U+1F935 U+1F3FD U+200D U+2640 U+FE0F
🤵🏾‍♀️,Donna In Smoking Carnagione Abbastanza Scura,U+1F935 U+1F3FE U+200D U+2640 U+FE0F
🤵🏿‍♀️,Donna In Smoking Carnagione Scura,U+1F935 U+1F3FF U+200D U+2640 U+FE0F
👰,Persona Con Velo,U+1F470
👰🏻,Persona Con Velo Carnagione Chiara,U+1F470 U+1F3FB
👰🏼,Persona Con Velo Carnagione Abbastanza Chiara,U+1F470 U+1F3FC
👰🏽,Persona Con Velo Carnagione Olivastra,U+1F470 U+1F3FD
👰🏾,Persona Con Velo Carnagione Abbastanza Scura,U+1F470 U+1F3FE
👰🏿,Persona Con Velo Carnagione Scura,U+1F470 U+1F3FF
👰‍♂️,Sposo Con Velo,U+1F470 U+200D U+2642 U+FE0F
👰🏻‍♂️,Sposo Con Velo Carnagione Chiara,U+1F470 U+1F3FB U+200D U+2642 U+FE0F
👰🏼‍♂️,Sposo Con Velo Carnagione Abbastanza Chiara,U+1F470 U+1F3FC U+200D U+2642 U+FE0F
👰🏽‍♂️,Sposo Con Velo Carnagione Olivastra,U+1F470 U+1F3FD U+200D U+2642 U+FE0F
👰🏾‍♂️,Sposo Con Velo Carnagione Abbastanza Scura,U+1F470 U+1F3FE U+200D U+2642 U+FE0F
👰🏿‍♂️,Sposo Con Velo Carnagione Scura,U+1F470 U+1F3FF U+200D U+2642 U+FE0F
👰‍♀️,Sposa Con Velo,U+1F470 U+200D U+2640 U+FE0F
👰🏻‍♀️,Sposa Con Velo Carnagione Chiara,U+1F470 U+1F3FB U+200D U+2640 U+FE0F
👰🏼‍♀️,Sposa Con Velo Carnagione Abbastanza Chiara,U+1F470 U+1F3FC U+200D U+2640 U+FE0F
👰🏽‍♀️,Sposa Con Velo Carnagione Olivastra,U+1F470 U+1F3FD U+200D U+2640 U+FE0F
👰🏾‍♀️,Sposa Con Velo Carnagione Abbastanza Scura,U+1F470 U+1F3FE U+200D U+2640 U+FE0F
👰🏿‍♀️,Sposa Con Velo Carnagione Scura,U+1F470 U+1F3FF U+200D U+2640 U+FE0F
🤰,Donna Incinta,U+1F930
🤰🏻,Donna Incinta Carnagione Chiara,U+1F930 U+1F3FB
🤰🏼,Donna Incinta Carnagione Abbastanza Chiara,U+1F930 U+1F3FC
🤰🏽,Donna Incinta Carnagione Olivastra,U+1F930 U+1F3FD
🤰🏾,Donna Incinta Carnagione Abbastanza Scura,U+1F930 U+1F3FE
🤰🏿,Donna Incinta Carnagione Scura,U+1F930 U+1F3FF
🤱,Allattare,U+1F931
🤱🏻,Allattare Carnagione Chiara,U+1F931 U+1F3FB
🤱🏼,Allattare Carnagione Abbastanza Chiara,U+1F931 U+1F3FC
🤱🏽,Allattare Carnagione Olivastra,U+1F931 U+1F3FD
🤱🏾,Allattare Carnagione Abbastanza Scura,U+1F931 U+1F3FE
🤱🏿,Allattare Carnagione Scura,U+1F931 U+1F3FF
👩‍🍼,Donna Che Allatta,U+1F469 U+200D U+1F37C
👩🏻‍🍼,Donna Che Allatta Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F37C
👩🏼‍🍼,Donna Che Allatta Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F37C
👩🏽‍🍼,Donna Che Allatta Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F37C
👩🏾‍🍼,Donna Che Allatta Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F37C
👩🏿‍🍼,Donna Che Allatta Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F37C
👨‍🍼,Uomo Che Allatta,U+1F468 U+200D U+1F37C
👨🏻‍🍼,Uomo Che Allatta Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F37C
👨🏼‍🍼,Uomo Che Allatta Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F37C
👨🏽‍🍼,Uomo Che Allatta Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F37C
👨🏾‍🍼,Uomo Che Allatta Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F37C
👨🏿‍🍼,Uomo Che Allatta Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F37C
🧑‍🍼,Persona Che Allatta,U+1F9D1 U+200D U+1F37C
🧑🏻‍🍼,Persona Che Allatta Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F37C
🧑🏼‍🍼,Persona Che Allatta Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F37C
🧑🏽‍🍼,Persona Che Allatta Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F37C
🧑🏾‍🍼,Persona Che Allatta Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F37C
🧑🏿‍🍼,Persona Che Allatta Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F37C
👼,Angioletto,U+1F47C
👼🏻,Angioletto Carnagione Chiara,U+1F47C U+1F3FB
👼🏼,Angioletto Carnagione Abbastanza Chiara,U+1F47C U+1F3FC
👼🏽,Angioletto Carnagione Olivastra,U+1F47C U+1F3FD
👼🏾,Angioletto Carnagione Abbastanza Scura,U+1F47C U+1F3FE
👼🏿,Angioletto Carnagione Scura,U+1F47C U+1F3FF
🎅,Babbo Natale,U+1F385
🎅🏻,Babbo Natale Carnagione Chiara,U+1F385 U+1F3FB
🎅🏼,Babbo Natale Carnagione Abbastanza Chiara,U+1F385 U+1F3FC
🎅🏽,Babbo Natale Carnagione Olivastra,U+1F385 U+1F3FD
🎅🏾,Babbo Natale Carnagione Abbastanza Scura,U+1F385 U+1F3FE
🎅🏿,Babbo Natale Carnagione Scura,U+1F385 U+1F3FF
🤶,Mamma Natale,U+1F936
🤶🏻,Mamma Natale Carnagione Chiara,U+1F936 U+1F3FB
🤶🏼,Mamma Natale Carnagione Abbastanza Chiara,U+1F936 U+1F3FC
🤶🏽,Mamma Natale Carnagione Olivastra,U+1F936 U+1F3FD
🤶🏾,Mamma Natale Carnagione Abbastanza Scura,U+1F936 U+1F3FE
🤶🏿,Mamma Natale Carnagione Scura,U+1F936 U+1F3FF
🧑‍🎄,Santa Claus,U+1F9D1 U+200D U+1F384
🧑🏻‍🎄,Santa Claus Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F384
🧑🏼‍🎄,Santa Claus Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F384
🧑🏽‍🎄,Santa Claus Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F384
🧑🏾‍🎄,Santa Claus Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F384
🧑🏿‍🎄,Santa Claus Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F384
🦸,Supereroe,U+1F9B8
🦸🏻,Supereroe Carnagione Chiara,U+1F9B8 U+1F3FB
🦸🏼,Supereroe Carnagione Abbastanza Chiara,U+1F9B8 U+1F3FC
🦸🏽,Supereroe Carnagione Olivastra,U+1F9B8 U+1F3FD
🦸🏾,Supereroe Carnagione Abbastanza Scura,U+1F9B8 U+1F3FE
🦸🏿,Supereroe Carnagione Scura,U+1F9B8 U+1F3FF
🦸‍♂️,Supereroe Uomo,U+1F9B8 U+200D U+2642 U+FE0F
🦸🏻‍♂️,Supereroe Uomo Carnagione Chiara,U+1F9B8 U+1F3FB U+200D U+2642 U+FE0F
🦸🏼‍♂️,Supereroe Uomo Carnagione Abbastanza Chiara,U+1F9B8 U+1F3FC U+200D U+2642 U+FE0F
🦸🏽‍♂️,Supereroe Uomo Carnagione Olivastra,U+1F9B8 U+1F3FD U+200D U+2642 U+FE0F
🦸🏾‍♂️,Supereroe Uomo Carnagione Abbastanza Scura,U+1F9B8 U+1F3FE U+200D U+2642 U+FE0F
🦸🏿‍♂️,Supereroe Uomo Carnagione Scura,U+1F9B8 U+1F3FF U+200D U+2642 U+FE0F
🦸‍♀️,Supereroina,U+1F9B8 U+200D U+2640 U+FE0F
🦸🏻‍♀️,Supereroina Carnagione Chiara,U+1F9B8 U+1F3FB U+200D U+2640 U+FE0F
🦸🏼‍♀️,Supereroina Carnagione Abbastanza Chiara,U+1F9B8 U+1F3FC U+200D U+2640 U+FE0F
🦸🏽‍♀️,Supereroina Carnagione Olivastra,U+1F9B8 U+1F3FD U+200D U+2640 U+FE0F
🦸🏾‍♀️,Supereroina Carnagione Abbastanza Scura,U+1F9B8 U+1F3FE U+200D U+2640 U+FE0F
🦸🏿‍♀️,Supereroina Carnagione Scura,U+1F9B8 U+1F3FF U+200D U+2640 U+FE0F
🦹,Supercattivo,U+1F9B9
🦹🏻,Supercattivo Carnagione Chiara,U+1F9B9 U+1F3FB
🦹🏼,Supercattivo Carnagione Abbastanza Chiara,U+1F9B9 U+1F3FC
🦹🏽,Supercattivo Carnagione Olivastra,U+1F9B9 U+1F3FD
🦹🏾,Supercattivo Carnagione Abbastanza Scura,U+1F9B9 U+1F3FE
🦹🏿,Supercattivo Carnagione Scura,U+1F9B9 U+1F3FF
🦹‍♂️,Supercattivo Uomo,U+1F9B9 U+200D U+2642 U+FE0F
🦹🏻‍♂️,Supercattivo Uomo Carnagione Chiara,U+1F9B9 U+1F3FB U+200D U+2642 U+FE0F
🦹🏼‍♂️,Supercattivo Uomo Carnagione Abbastanza Chiara,U+1F9B9 U+1F3FC U+200D U+2642 U+FE0F
🦹🏽‍♂️,Supercattivo Uomo Carnagione Olivastra,U+1F9B9 U+1F3FD U+200D U+2642 U+FE0F
🦹🏾‍♂️,Supercattivo Uomo Carnagione Abbastanza Scura,U+1F9B9 U+1F3FE U+200D U+2642 U+FE0F
🦹🏿‍♂️,Supercattivo Uomo Carnagione Scura,U+1F9B9 U+1F3FF U+200D U+2642 U+FE0F
🦹‍♀️,Supercattiva,U+1F9B9 U+200D U+2640 U+FE0F
🦹🏻‍♀️,Supercattiva Carnagione Chiara,U+1F9B9 U+1F3FB U+200D U+2640 U+FE0F
🦹🏼‍♀️,Supercattiva Carnagione Abbastanza Chiara,U+1F9B9 U+1F3FC U+200D U+2640 U+FE0F
🦹🏽‍♀️,Supercattiva Carnagione Olivastra,U+1F9B9 U+1F3FD U+200D U+2640 U+FE0F
🦹🏾‍♀️,Supercattiva Carnagione Abbastanza Scura,U+1F9B9 U+1F3FE U+200D U+2640 U+FE0F
🦹🏿‍♀️,Supercattiva Carnagione Scura,U+1F9B9 U+1F3FF U+200D U+2640 U+FE0F
🧙,Mago,U+1F9D9
🧙🏻,Mago Carnagione Chiara,U+1F9D9 U+1F3FB
🧙🏼,Mago Carnagione Abbastanza Chiara,U+1F9D9 U+1F3FC
🧙🏽,Mago Carnagione Olivastra,U+1F9D9 U+1F3FD
🧙🏾,Mago Carnagione Abbastanza Scura,U+1F9D9 U+1F3FE
🧙🏿,Mago Carnagione Scura,U+1F9D9 U+1F3FF
🧙‍♂️,Mago Uomo,U+1F9D9 U+200D U+2642 U+FE0F
🧙🏻‍♂️,Mago Uomo Carnagione Chiara,U+1F9D9 U+1F3FB U+200D U+2642 U+FE0F
🧙🏼‍♂️,Mago Uomo Carnagione Abbastanza Chiara,U+1F9D9 U+1F3FC U+200D U+2642 U+FE0F
🧙🏽‍♂️,Mago Uomo Carnagione Olivastra,U+1F9D9 U+1F3FD U+200D U+2642 U+FE0F
🧙🏾‍♂️,Mago Uomo Carnagione Abbastanza Scura,U+1F9D9 U+1F3FE U+200D U+2642 U+FE0F
🧙🏿‍♂️,Mago Uomo Carnagione Scura,U+1F9D9 U+1F3FF U+200D U+2642 U+FE0F
🧙‍♀️,Maga,U+1F9D9 U+200D U+2640 U+FE0F
🧙🏻‍♀️,Maga Carnagione Chiara,U+1F9D9 U+1F3FB U+200D U+2640 U+FE0F
🧙🏼‍♀️,Maga Carnagione Abbastanza Chiara,U+1F9D9 U+1F3FC U+200D U+2640 U+FE0F
🧙🏽‍♀️,Maga Carnagione Olivastra,U+1F9D9 U+1F3FD U+200D U+2640 U+FE0F
🧙🏾‍♀️,Maga Carnagione Abbastanza Scura,U+1F9D9 U+1F3FE U+200D U+2640 U+FE0F
🧙🏿‍♀️,Maga Carnagione Scura,U+1F9D9 U+1F3FF U+200D U+2640 U+FE0F
🧚,Fata,U+1F9DA
🧚🏻,Fata Carnagione Chiara,U+1F9DA U+1F3FB
🧚🏼,Fata Carnagione Abbastanza Chiara,U+1F9DA U+1F3FC
🧚🏽,Fata Carnagione Olivastra,U+1F9DA U+1F3FD
🧚🏾,Fata Carnagione Abbastanza Scura,U+1F9DA U+1F3FE
🧚🏿,Fata Carnagione Scura,U+1F9DA U+1F3FF
🧚‍♂️,Folletto Alato,U+1F9DA U+200D U+2642 U+FE0F
🧚🏻‍♂️,Folletto Alato Carnagione Chiara,U+1F9DA U+1F3FB U+200D U+2642 U+FE0F
🧚🏼‍♂️,Folletto Alato Carnagione Abbastanza Chiara,U+1F9DA U+1F3FC U+200D U+2642 U+FE0F
🧚🏽‍♂️,Folletto Alato Carnagione Olivastra,U+1F9DA U+1F3FD U+200D U+2642 U+FE0F
🧚🏾‍♂️,Folletto Alato Carnagione Abbastanza Scura,U+1F9DA U+1F3FE U+200D U+2642 U+FE0F
🧚🏿‍♂️,Folletto Alato Carnagione Scura,U+1F9DA U+1F3FF U+200D U+2642 U+FE0F
🧚‍♀️,Fata Donna,U+1F9DA U+200D U+2640 U+FE0F
🧚🏻‍♀️,Fata Donna Carnagione Chiara,U+1F9DA U+1F3FB U+200D U+2640 U+FE0F
🧚🏼‍♀️,Fata Donna Carnagione Abbastanza Chiara,U+1F9DA U+1F3FC U+200D U+2640 U+FE0F
🧚🏽‍♀️,Fata Donna Carnagione Olivastra,U+1F9DA U+1F3FD U+200D U+2640 U+FE0F
🧚🏾‍♀️,Fata Donna Carnagione Abbastanza Scura,U+1F9DA U+1F3FE U+200D U+2640 U+FE0F
🧚🏿‍♀️,Fata Donna Carnagione Scura,U+1F9DA U+1F3FF U+200D U+2640 U+FE0F
🧛,Vampiro,U+1F9DB
🧛🏻,Vampiro Carnagione Chiara,U+1F9DB U+1F3FB
🧛🏼,Vampiro Carnagione Abbastanza Chiara,U+1F9DB U+1F3FC
🧛🏽,Vampiro Carnagione Olivastra,U+1F9DB U+1F3FD
🧛🏾,Vampiro Carnagione Abbastanza Scura,U+1F9DB U+1F3FE
🧛🏿,Vampiro Carnagione Scura,U+1F9DB U+1F3FF
🧛‍♂️,Vampiro Uomo,U+1F9DB U+200D U+2642 U+FE0F
🧛🏻‍♂️,Vampiro Uomo Carnagione Chiara,U+1F9DB U+1F3FB U+200D U+2642 U+FE0F
🧛🏼‍♂️,Vampiro Uomo Carnagione Abbastanza Chiara,U+1F9DB U+1F3FC U+200D U+2642 U+FE0F
🧛🏽‍♂️,Vampiro Uomo Carnagione Olivastra,U+1F9DB U+1F3FD U+200D U+2642 U+FE0F
🧛🏾‍♂️,Vampiro Uomo Carnagione Abbastanza Scura,U+1F9DB U+1F3FE U+200D U+2642 U+FE0F
🧛🏿‍♂️,Vampiro Uomo Carnagione Scura,U+1F9DB U+1F3FF U+200D U+2642 U+FE0F
🧛‍♀️,Vampira,U+1F9DB U+200D U+2640 U+FE0F
🧛🏻‍♀️,Vampira Carnagione Chiara,U+1F9DB U+1F3FB U+200D U+2640 U+FE0F
🧛🏼‍♀️,Vampira Carnagione Abbastanza Chiara,U+1F9DB U+1F3FC U+200D U+2640 U+FE0F
🧛🏽‍♀️,Vampira Carnagione Olivastra,U+1F9DB U+1F3FD U+200D U+2640 U+FE0F
🧛🏾‍♀️,Vampira Carnagione Abbastanza Scura,U+1F9DB U+1F3FE U+200D U+2640 U+FE0F
🧛🏿‍♀️,Vampira Carnagione Scura,U+1F9DB U+1F3FF U+200D U+2640 U+FE0F
🧜,Sirena,U+1F9DC
🧜🏻,Sirena Carnagione Chiara,U+1F9DC U+1F3FB
🧜🏼,Sirena Carnagione Abbastanza Chiara,U+1F9DC U+1F3FC
🧜🏽,Sirena Carnagione Olivastra,U+1F9DC U+1F3FD
🧜🏾,Sirena Carnagione Abbastanza Scura,U+1F9DC U+1F3FE
🧜🏿,Sirena Carnagione Scura,U+1F9DC U+1F3FF
🧜‍♂️,Tritone,U+1F9DC U+200D U+2642 U+FE0F
🧜🏻‍♂️,Tritone Carnagione Chiara,U+1F9DC U+1F3FB U+200D U+2642 U+FE0F
🧜🏼‍♂️,Tritone Carnagione Abbastanza Chiara,U+1F9DC U+1F3FC U+200D U+2642 U+FE0F
🧜🏽‍♂️,Tritone Carnagione Olivastra,U+1F9DC U+1F3FD U+200D U+2642 U+FE0F
🧜🏾‍♂️,Tritone Carnagione Abbastanza Scura,U+1F9DC U+1F3FE U+200D U+2642 U+FE0F
🧜🏿‍♂️,Tritone Carnagione Scura,U+1F9DC U+1F3FF U+200D U+2642 U+FE0F
🧜‍♀️,Sirena Donna,U+1F9DC U+200D U+2640 U+FE0F
🧜🏻‍♀️,Sirena Donna Carnagione Chiara,U+1F9DC U+1F3FB U+200D U+2640 U+FE0F
🧜🏼‍♀️,Sirena Donna Carnagione Abbastanza Chiara,U+1F9DC U+1F3FC U+200D U+2640 U+FE0F
🧜🏽‍♀️,Sirena Donna Carnagione Olivastra,U+1F9DC U+1F3FD U+200D U+2640 U+FE0F
